Cash Transaction Listing - Detail

"Start date","12/09/2022"
"End date","30/06/2025"
"Client name","Gambit Capital Pty Ltd"
"Client number","301567"
"Account number","WRAP075815"
"Product name","netwealth Wealth Accelerator"
"Asset holding options","All assets"
"Cash transaction listing options","Integrated Listing (including Managed Account transactions)"

Cash position at 30 June 2025
"Description","$"
"Cash Account - Available Cash","2008.47"
"Cash Account - Minimum Cash","511.35"
"Cash Account - Pending","0"
"Cash Balance","2519.82"

Transactions by type
"Description","Amount"
"Opening Cash Balance","0.0"
"Administration Fees","-1848.24"
"Asset Purchase","-298176.32"
"Asset Sale","310550.41"
"Brokerage Fee","-63.24"
"Cash Account Interest","1063.75"
"Distribution","11304.90"
"Family Fee Rebate - Administration Fees","328.70"
"Investment","299245.85"
"Withdrawal","-319885.99"
"Closing Cash Balance","2519.82"

Cash transactions
"Effective Date","Description","EFTReference","Narration","Employer","Asset","Code","Units","Debits","Credits","Cash balance","Purchase price","Sale price","TransactionListing Summary Group","Processed Date"
"30/11/2024","Family Fee Rebate - Administration Fees","","","","","","0.000000","0","10.55","9134.01","0","0","Rebates & rewards","04/12/2024"
"30/11/2024","Administration Fees","","","","","","0.000000","52.12","0","9123.46","0","0","Administration costs","03/12/2024"
"31/10/2024","Cash Account Interest","","","","Cash Account","","0.000000","0","28.12","9175.58","0","0","Cash account interest","05/11/2024"
"31/10/2024","Family Fee Rebate - Administration Fees","","","","","","0.000000","0","10.66","9147.46","0","0","Rebates & rewards","07/11/2024"
"31/10/2024","Administration Fees","","","","","","0.000000","53.20","0","9136.80","0","0","Administration costs","04/11/2024"
"16/10/2024","Distribution","","","","Vanguard Australian Shares High Yield ETF","VHY","0.000000","0","388.17","9190.00","0","0","Distributions (inc dividends)","17/10/2024"
"07/10/2024","Distribution","","","","Vanguard High Growth Index Fund","VAN0111AU","0.000000","0","227.87","8801.83","0","0","Distributions (inc dividends)","09/10/2024"
"06/10/2024","Withdrawal","","Pitcher Fees","","","","0.000000","110.00","0","8573.96","0","0","Withdrawals & payments (inc Transfer-outs)","07/10/2024"
"30/09/2024","Cash Account Interest","","","","Cash Account","","0.000000","0","26.38","8683.96","0","0","Cash account interest","03/10/2024"
"30/09/2024","Family Fee Rebate - Administration Fees","","","","","","0.000000","0","10.09","8657.58","0","0","Rebates & rewards","03/10/2024"
"30/09/2024","Administration Fees","","","","","","0.000000","50.89","0","8647.49","0","0","Administration costs","02/10/2024"
"31/08/2024","Cash Account Interest","","","","Cash Account","","0.000000","0","27.30","8698.38","0","0","Cash account interest","04/09/2024"
"31/08/2024","Family Fee Rebate - Administration Fees","","","","","","0.000000","0","9.78","8671.08","0","0","Rebates & rewards","04/09/2024"
"31/08/2024","Administration Fees","","","","","","0.000000","51.39","0","8661.30","0","0","Administration costs","03/09/2024"
"31/07/2024","Cash Account Interest","","","","Cash Account","","0.000000","0","26.08","8712.69","0","0","Cash account interest","05/08/2024"
"31/07/2024","Family Fee Rebate - Administration Fees","","","","","","0.000000","0","9.48","8686.61","0","0","Rebates & rewards","05/08/2024"
"31/07/2024","Administration Fees","","","","","","0.000000","51.00","0","8677.13","0","0","Administration costs","02/08/2024"
"16/07/2024","Distribution","","","","Vanguard Australian Shares High Yield ETF","VHY","0.000000","0","426.53","8728.13","0","0","Distributions (inc dividends)","17/07/2024"
"05/07/2024","Distribution","","","","Vanguard High Growth Index Fund","VAN0111AU","0.000000","0","655.35","8301.60","0","0","Distributions (inc dividends)","09/07/2024"
"30/06/2024","Cash Account Interest","","","","Cash Account","","0.000000","0","112.36","7646.25","0","0","Cash account interest","03/07/2024"
"30/06/2024","Family Fee Rebate - Administration Fees","","","","","","0.000000","0","14.21","7533.89","0","0","Rebates & rewards","02/07/2024"
"30/06/2024","Administration Fees","","","","","","0.000000","62.59","0","7519.68","0","0","Administration costs","02/07/2024"
"25/06/2024","Withdrawal","","Dividend payment","","","","0.000000","3396.00","0","7582.27","0","0","Withdrawals & payments (inc Transfer-outs)","26/06/2024"
"21/06/2024","Withdrawal","","","","","","0.000000","67000.00","0","10978.27","0","0","Withdrawals & payments (inc Transfer-outs)","21/06/2024"
"13/06/2024","Asset Sale","","","","Vanguard High Growth Index Fund","VAN0111AU","-25046.002862","0","49000.00","77978.27","0","1.96","Asset Sales","18/06/2024"
"04/06/2024","Withdrawal","","Trust loan payback","","","","0.000000","20913.97","0","28978.27","0","0","Withdrawals & payments (inc Transfer-outs)","04/06/2024"
"31/05/2024","Cash Account Interest","","","","Cash Account","","0.000000","0","154.50","49892.24","0","0","Cash account interest","05/06/2024"
"31/05/2024","Family Fee Rebate - Administration Fees","","","","","","0.000000","0","18.93","49737.74","0","0","Rebates & rewards","04/06/2024"
"31/05/2024","Administration Fees","","","","","","0.000000","75.65","0","49718.81","0","0","Administration costs","03/06/2024"
"30/04/2024","Cash Account Interest","","","","Cash Account","","0.000000","0","33.38","49794.46","0","0","Cash account interest","03/05/2024"
"30/04/2024","Family Fee Rebate - Administration Fees","","","","","","0.000000","0","18.16","49761.08","0","0","Rebates & rewards","03/05/2024"
"30/04/2024","Administration Fees","","","","","","0.000000","72.79","0","49742.92","0","0","Administration costs","02/05/2024"
"29/04/2024","Distribution","","","","Term Deposit NAB - 6 Mth 5.10% (29/04/2024)","NAT0424M","0.000000","0","1033.97","49815.71","0","0","Distributions (inc dividends)","30/04/2024"
"29/04/2024","Asset Sale","","","","Term Deposit NAB - 6 Mth 5.10% (29/04/2024)","NAT0424M","-40000.000000","0","40000.00","48781.74","0","1","Asset Sales","30/04/2024"
"17/04/2024","Distribution","","","","Vanguard Australian Shares High Yield ETF","VHY","0.000000","0","438.98","8781.74","0","0","Distributions (inc dividends)","18/04/2024"
"08/04/2024","Distribution","","","","Vanguard High Growth Index Fund","VAN0111AU","0.000000","0","652.63","8342.76","0","0","Distributions (inc dividends)","10/04/2024"
"31/03/2024","Cash Account Interest","","","","Cash Account","","0.000000","0","23.99","7690.13","0","0","Cash account interest","04/04/2024"
"31/03/2024","Family Fee Rebate - Administration Fees","","","","","","0.000000","0","18.91","7666.14","0","0","Rebates & rewards","04/04/2024"
"31/03/2024","Administration Fees","","","","","","0.000000","75.65","0","7647.23","0","0","Administration costs","03/04/2024"
"29/02/2024","Cash Account Interest","","","","Cash Account","","0.000000","0","22.47","7722.88","0","0","Cash account interest","05/03/2024"
"29/02/2024","Family Fee Rebate - Administration Fees","","","","","","0.000000","0","17.54","7700.41","0","0","Rebates & rewards","06/03/2024"
"29/02/2024","Administration Fees","","","","","","0.000000","69.99","0","7682.87","0","0","Administration costs","04/03/2024"
"31/01/2024","Cash Account Interest","","","","Cash Account","","0.000000","0","23.48","7752.86","0","0","Cash account interest","05/02/2024"
"31/01/2024","Family Fee Rebate - Administration Fees","","","","","","0.000000","0","17.79","7729.38","0","0","Rebates & rewards","05/02/2024"
"31/01/2024","Administration Fees","","","","","","0.000000","71.87","0","7711.59","0","0","Administration costs","02/02/2024"
"17/01/2024","Distribution","","","","Vanguard Australian Shares High Yield ETF","VHY","0.000000","0","230.48","7783.46","0","0","Distributions (inc dividends)","18/01/2024"
"08/01/2024","Distribution","","","","Vanguard High Growth Index Fund","VAN0111AU","0.000000","0","390.35","7552.98","0","0","Distributions (inc dividends)","10/01/2024"
"31/12/2023","Cash Account Interest","","","","Cash Account","","0.000000","0","22.31","7162.63","0","0","Cash account interest","04/01/2024"
"31/12/2023","Family Fee Rebate - Administration Fees","","","","","","0.000000","0","17.51","7140.32","0","0","Rebates & rewards","03/01/2024"
"31/12/2023","Administration Fees","","","","","","0.000000","70.65","0","7122.81","0","0","Administration costs","03/01/2024"
"30/11/2023","Cash Account Interest","","","","Cash Account","","0.000000","0","21.39","7193.46","0","0","Cash account interest","05/12/2023"
"30/11/2023","Family Fee Rebate - Administration Fees","","","","","","0.000000","0","16.38","7172.07","0","0","Rebates & rewards","05/12/2023"
"30/11/2023","Administration Fees","","","","","","0.000000","66.43","0","7155.69","0","0","Administration costs","04/12/2023"
"31/10/2023","Cash Account Interest","","","","Cash Account","","0.000000","0","46.48","7222.12","0","0","Cash account interest","06/11/2023"
"31/10/2023","Family Fee Rebate - Administration Fees","","","","","","0.000000","0","13.63","7175.64","0","0","Rebates & rewards","03/11/2023"
"31/10/2023","Administration Fees","","","","","","0.000000","59.73","0","7162.01","0","0","Administration costs","02/11/2023"
"27/10/2023","Asset Purchase","","","","Term Deposit NAB - 6 Mth 5.10% (29/04/2024)","NAT0424M","40000.000000","40000.00","0","7221.74","1","0","Asset Purchases","30/10/2023"
"20/10/2023","Investment","","","","","","0.000000","0","40000.00","47221.74","0","0","Contributions & deposits (inc Transfer-ins)","23/10/2023"
"17/10/2023","Distribution","","","","Vanguard Australian Shares High Yield ETF","VHY","0.000000","0","484.56","7221.74","0","0","Distributions (inc dividends)","18/10/2023"
"06/10/2023","Distribution","","","","Vanguard High Growth Index Fund","VAN0111AU","0.000000","0","626.28","6737.18","0","0","Distributions (inc dividends)","10/10/2023"
"30/09/2023","Cash Account Interest","","","","Cash Account","","0.000000","0","17.37","6110.90","0","0","Cash account interest","03/10/2023"
"30/09/2023","Family Fee Rebate - Administration Fees","","","","","","0.000000","0","11.47","6093.53","0","0","Rebates & rewards","04/10/2023"
"30/09/2023","Administration Fees","","","","","","0.000000","54.62","0","6082.06","0","0","Administration costs","02/10/2023"
"31/08/2023","Cash Account Interest","","","","Cash Account","","0.000000","0","17.84","6136.68","0","0","Cash account interest","05/09/2023"
"31/08/2023","Family Fee Rebate - Administration Fees","","","","","","0.000000","0","11.81","6118.84","0","0","Rebates & rewards","05/09/2023"
"31/08/2023","Administration Fees","","","","","","0.000000","56.34","0","6107.03","0","0","Administration costs","04/09/2023"
"31/07/2023","Cash Account Interest","","","","Cash Account","","0.000000","0","40.33","6163.37","0","0","Cash account interest","03/08/2023"
"31/07/2023","Family Fee Rebate - Administration Fees","","","","","","0.000000","0","11.53","6123.04","0","0","Rebates & rewards","03/08/2023"
"31/07/2023","Administration Fees","","","","","","0.000000","55.52","0","6111.51","0","0","Administration costs","02/08/2023"
"07/07/2023","Distribution","","","","Vanguard High Growth Index Fund","VAN0111AU","0.000000","0","911.02","6167.03","0","0","Distributions (inc dividends)","11/07/2023"
"06/07/2023","Asset Purchase","","","","GCQ Flagship Fund - Class P","SPC5039AU","58520.142633","75000.00","0","5256.01","1.28","0","Asset Purchases","31/08/2023"
"05/07/2023","Brokerage Fee","","","","Vanguard Australian Shares High Yield ETF","VHY","0.000000","31.16","0","80256.01","0","0","Transaction costs (inc brokerage)","05/07/2023"
"03/07/2023","Asset Purchase","","","","Vanguard Australian Shares High Yield ETF","VHY","373.000000","24931.32","0","80287.17","66.84","0","Asset Purchases","03/07/2023"
"30/06/2023","Cash Account Interest","","","","Cash Account","","0.000000","0","51.57","105218.49","0","0","Cash account interest","05/07/2023"
"30/06/2023","Family Fee Rebate - Administration Fees","","","","","","0.000000","0","1.47","105166.92","0","0","Rebates & rewards","05/07/2023"
"30/06/2023","Administration Fees","","","","","","0.000000","40.95","0","105165.45","0","0","Administration costs","04/07/2023"
"27/06/2023","Investment","","","","","","0.000000","0","100000.00","105206.40","0","0","Contributions & deposits (inc Transfer-ins)","28/06/2023"
"31/05/2023","Cash Account Interest","","","","Cash Account","","0.000000","0","13.98","5206.40","0","0","Cash account interest","05/06/2023"
"31/05/2023","Administration Fees","","","","","","0.000000","40.34","0","5192.42","0","0","Administration costs","02/06/2023"
"30/04/2023","Cash Account Interest","","","","Cash Account","","0.000000","0","12.47","5232.76","0","0","Cash account interest","03/05/2023"
"30/04/2023","Administration Fees","","","","","","0.000000","39.04","0","5220.29","0","0","Administration costs","02/05/2023"
"11/04/2023","Distribution","","","","Vanguard High Growth Index Fund","VAN0111AU","0.000000","0","350.17","5259.33","0","0","Distributions (inc dividends)","14/04/2023"
"31/03/2023","Cash Account Interest","","","","Cash Account","","0.000000","0","104.44","4909.16","0","0","Cash account interest","05/04/2023"
"31/03/2023","Family Fee Rebate - Administration Fees","","","","","","0.000000","0","7.65","4804.72","0","0","Rebates & rewards","05/04/2023"
"31/03/2023","Administration Fees","","","","","","0.000000","48.13","0","4797.07","0","0","Administration costs","04/04/2023"
"31/03/2023","Withdrawal","","Cash to CBA","","","","0.000000","82000.00","0","4845.20","0","0","Withdrawals & payments (inc Transfer-outs)","03/04/2023"
"16/03/2023","Asset Sale","","","","Term Deposit BOQ - 6 Mth 3.30% (16/03/2023)","BOQ0323K","-83773.000000","0","83773.00","86845.20","0","1","Asset Sales","17/03/2023"
"16/03/2023","Distribution","","","","Term Deposit BOQ - 6 Mth 3.30% (16/03/2023)","BOQ0323K","0.000000","0","1370.89","3072.20","0","0","Distributions (inc dividends)","17/03/2023"
"28/02/2023","Cash Account Interest","","","","Cash Account","","0.000000","0","3.50","1701.31","0","0","Cash account interest","03/03/2023"
"28/02/2023","Family Fee Rebate - Administration Fees","","","","","","0.000000","0","6.33","1697.81","0","0","Rebates & rewards","03/03/2023"
"28/02/2023","Administration Fees","","","","","","0.000000","43.86","0","1691.48","0","0","Administration costs","02/03/2023"
"31/01/2023","Cash Account Interest","","","","Cash Account","","0.000000","0","5.11","1735.34","0","0","Cash account interest","03/02/2023"
"31/01/2023","Administration Fees","","","","","","0.000000","48.07","0","1730.23","0","0","Administration costs","02/02/2023"
"27/01/2023","Asset Purchase","","","","Vanguard High Growth Index Fund","VAN0111AU","588.131506","1000.00","0","1778.30","1.70","0","Asset Purchases","30/01/2023"
"09/01/2023","Distribution","","","","Vanguard High Growth Index Fund","VAN0111AU","0.000000","0","337.39","2778.30","0","0","Distributions (inc dividends)","11/01/2023"
"31/12/2022","Cash Account Interest","","","","Cash Account","","0.000000","0","4.98","2440.91","0","0","Cash account interest","05/01/2023"
"31/12/2022","Administration Fees","","","","","","0.000000","47.87","0","2435.93","0","0","Administration costs","04/01/2023"
"30/11/2022","Cash Account Interest","","","","Cash Account","","0.000000","0","4.50","2483.80","0","0","Cash account interest","05/12/2022"
"30/11/2022","Administration Fees","","","","","","0.000000","46.29","0","2479.30","0","0","Administration costs","02/12/2022"
"31/10/2022","Cash Account Interest","","","","Cash Account","","0.000000","0","3.93","2525.59","0","0","Cash account interest","03/11/2022"
"31/10/2022","Administration Fees","","","","","","0.000000","46.91","0","2521.66","0","0","Administration costs","02/11/2022"
"07/10/2022","Distribution","","","","Vanguard High Growth Index Fund","VAN0111AU","0.000000","0","586.94","2568.57","0","0","Distributions (inc dividends)","11/10/2022"
"30/09/2022","Cash Account Interest","","","","Cash Account","","0.000000","0","8.75","1981.63","0","0","Cash account interest","05/10/2022"
